Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description,Corrective Action,Action Status,Report ID,Equipment,Severity Raw,Report Type,Shift,Root Cause Tag
2026-01-05 09:00:00,India,Duliajan Field Station-3,Oil & Gas,II,III,Not Specified,Employee,Gas Leak / H2S,Gas leak detected at wellhead valve during routine inspection. H2S smell reported by operator. Valve packing worn out. Area cordoned off. No ignition source found.,See report notes,Open,R001,Wellhead Valve,4,unsafe-condition,unspecified,unspecified
2026-01-08 09:00:00,India,Naharkatiya Rig-12,Oil & Gas,I,II,Not Specified,Employee,Fall / Height,Worker slipped on drilling fluid spill near hoist. No injury. Spill not cleaned for 2 hours. Anti-slip mats missing on platform.,See report notes,Closed,R004,Drilling Hoist,2,near-miss,unspecified,unspecified
2026-01-09 09:00:00,India,Duliajan Field Station-3,Oil & Gas,I,II,Not Specified,Employee,Fall / Height,Scaffold plank found cracked during pre-use inspection at tank maintenance site. Plank removed and replaced before work commenced. No work interruption.,See report notes,Closed,R049,Scaffolding,2,unsafe-condition,unspecified,unspecified
2026-01-12 09:00:00,India,Duliajan Field Station-3,Oil & Gas,III,IV,Not Specified,Employee,Gas Leak / H2S,Second gas leak at same wellhead within one week. Pressure gauge reading erratic. Maintenance team replaced packing but leak recurred. Supervisor advised continuous monitoring.,See report notes,Closed,R002,Wellhead Valve,5,unsafe-condition,unspecified,unspecified
2026-01-14 09:00:00,India,Panipat Refinery Substation-B,Oil & Gas,III,IV,Not Specified,Employee,Electrical,"Electrician received minor shock while operating switchgear panel. Panel earthing found defective. Isolated, LOTO applied, electrical safety audit initiated for entire substation.",See report notes,Open,R037,11kV Switchgear,6,unsafe-condition,day,electrical-fault
2026-01-15 09:00:00,India,Naharkatiya Rig-12,Oil & Gas,III,III,Not Specified,Employee,Fall / Height,Driller fell from platform while operating hoist. Fractured ankle. No safety harness worn. Guard rail damaged and not repaired since last inspection. Same location as previous slip incident.,See report notes,Closed,R005,Drilling Hoist,6,unsafe-act,unspecified,unspecified
2026-01-18 09:00:00,India,Duliajan Field Station-3,Oil & Gas,V,V,Not Specified,Employee,Gas Leak / H2S,Major gas blowout at wellhead. Emergency shutdown activated. Three workers exposed to H2S. One worker hospitalized due to inhalation. Same valve that leaked twice before.,See report notes,Open,R003,Wellhead Valve,9,unsafe-act,unspecified,unspecified
2026-01-20 09:00:00,India,Ankleshwar GGS-4,Oil & Gas,II,III,Not Specified,Employee,PPE Violation,Unusual vibration noticed in sucker rod pump. Operator reported grinding noise. Pump stopped for inspection. Bearing wear found.,See report notes,Closed,R028,Sucker Rod Pump,3,near-miss,day,equipment-wear
2026-01-22 09:00:00,India,Naharkatiya Rig-12,Oil & Gas,V,V,Not Specified,Employee,Fall / Height,Fatal fall from Rig-12 platform. Worker fell 4 meters during night shift. Head injury. Died before reaching Duliajan hospital. No harness. Same hoist area where previous fall occurred. Guard rail still not repaired.,See report notes,Open,R006,Drilling Hoist,10,unsafe-act,unspecified,unspecified
2026-01-24 09:00:00,India,Ankleshwar GGS-4,Oil & Gas,I,I,Not Specified,Employee,Equipment Malfunction,Bearing replaced on sucker rod pump as per previous report. Pump running normal since repair. No abnormal vibration in follow-up checks over 4 days.,See report notes,Closed,R029,Sucker Rod Pump,1,observation,day,maintenance-completed
2026-01-27 09:00:00,India,Jorhat Field Camp-2,Oil & Gas,II,III,Not Specified,Employee,Gas Leak / H2S,"worker complain of dizziness near old mud pit area, smell present but no gas alarm triggered, area not tested properly, sent to site clinic as precaution, released same day",See report notes,Closed,R065,Not specified,3,near-miss,unspecified,unspecified
2026-02-03 09:00:00,India,Mumbai High North Platform-B,Oil & Gas,III,IV,Not Specified,Employee,Blowout / Well Control,BOP annular preventer failed pressure test. Minor seepage observed. Well control maintained by secondary barrier. Maintenance scheduled for next weather window.,See report notes,Closed,R007,Blowout Preventer,5,near-miss,unspecified,unspecified
2026-02-05 09:00:00,India,Jorhat Field Camp-2,Oil & Gas,I,II,Not Specified,Employee,PPE Violation,"DG set overheated during load test. Coolant level low. Topped up, ran fine after. No repeat issue reported since.",See report notes,Closed,R030,Diesel Generator,2,near-miss,night,unspecified
2026-02-08 09:00:00,India,Barauni Refinery FCC Unit,Oil & Gas,II,III,Not Specified,Employee,Equipment Malfunction,"Slide valve position indicator showed erratic reading. Recalibrated, normal since. Second such event in 3 months at different valve, unrelated equipment.",See report notes,Open,R059,Slide Valve,3,unsafe-condition,unspecified,unspecified
2026-02-10 09:00:00,India,Mumbai High North Platform-B,Oil & Gas,IV,V,Not Specified,Employee,Blowout / Well Control,BOP test failed again. Same annular preventer. Well shut in. Helicopter evacuation of non-essential personnel. Weather conditions delaying repair crew dispatch.,See report notes,Open,R008,Blowout Preventer,8,unsafe-condition,unspecified,unspecified
2026-02-11 09:00:00,India,Barmer Field MPT-1,Oil & Gas,I,II,Not Specified,Employee,Slip / Near Miss,Minor oil weep at manifold flange. Tightened bolts. Weep stopped. No leak detected in weekly inspections since.,See report notes,Open,R031,Manifold Valve,2,unsafe-condition,unspecified,unspecified
2026-02-14 09:00:00,India,Mumbai High North Platform-B,Oil & Gas,V,V,Not Specified,Employee,Blowout / Well Control,Uncontrolled gas release from wellhead. BOP failed to seal. Emergency disconnect initiated. Platform evacuated. Coast Guard alerted. Same BOP that failed two previous tests.,See report notes,Open,R009,Blowout Preventer,10,unsafe-condition,unspecified,unspecified
2026-02-14 09:00:00,India,Naharkatiya Rig-12,Oil & Gas,I,I,Not Specified,Employee,Routine / Observation,Toolbox talk conducted on hoist operation safety following recent incidents. Attendance and sign-off recorded.,See report notes,Closed,R057,Drilling Hoist,1,observation,unspecified,unspecified
2026-02-16 09:00:00,India,Barauni Refinery FCC Unit,Oil & Gas,II,III,Not Specified,Employee,Equipment Malfunction,"Slide valve stuck momentarily during regeneration cycle, cleared itself before intervention needed. Operators note this as third minor anomaly this month but no clear pattern established by maintenance.",See report notes,Closed,R060,Slide Valve,4,unsafe-condition,unspecified,unspecified
2026-02-19 09:00:00,India,Duliajan Field Station-3,Oil & Gas,III,IV,Not Specified,Employee,Electrical,"Arc flash from damaged junction box during routine maintenance. Technician sustained facial burns, treated at site clinic. Cable insulation found degraded due to moisture ingress.",See report notes,Open,R038,Junction Box,6,unsafe-condition,unspecified,electrical-fault
2026-02-24 09:00:00,India,Barauni Refinery FCC Unit,Oil & Gas,I,II,Not Specified,Employee,Other Risk,"Slide valve position fault caused brief pressure fluctuation, automatically corrected by control system within seconds. No manual intervention required. Root cause traced to a firmware bug in the positioner, patch scheduled.",See report notes,Open,R061,Slide Valve,2,unsafe-condition,unspecified,unspecified
2026-02-27 09:00:00,India,Numaligarh Refinery Lab,Oil & Gas,II,II,Not Specified,Employee,Chemical Exposure,"Lab technician splashed with corrosive sample during transfer, PPE gloves worn but faceshield not used. Minor skin irritation on forearm, first aid administered, technician cleared to resume duty.",See report notes,Closed,R045,Chemical Sample Container,4,unsafe-act,unspecified,ppe-noncompliance
2026-03-01 09:00:00,India,Mathura Refinery CDU-2,Oil & Gas,II,II,Not Specified,Employee,Fire / Explosion,Furnace burner flameout during startup. Operator relit without purging. Flashback observed. No damage. Procedure violation noted.,See report notes,Open,R010,Process Furnace,4,unsafe-act,unspecified,unspecified
2026-03-02 09:00:00,India,Numaligarh Refinery Utility Block,Oil & Gas,I,II,Not Specified,Employee,Slip / Near Miss,"Cooling tower fan belt slipped, unusual noise. Belt tension adjusted same shift. No recurrence in subsequent shift logs.",See report notes,Closed,R032,Cooling Tower Fan,2,near-miss,unspecified,unspecified
2026-03-05 09:00:00,India,Dahej-Vijaipur Pipeline KM-45,Oil & Gas,I,I,Not Specified,Employee,Gas Leak / H2S,Follow-up patrol post-incident found repaired valve station intact. Marker tape reinstalled. No further gas odor reported.,See report notes,Closed,R058,Pipeline Valve,1,observation,unspecified,unspecified
2026-03-08 09:00:00,India,Mathura Refinery CDU-2,Oil & Gas,IV,V,Not Specified,Employee,Fire / Explosion,Fire in furnace convection section. Tube rupture suspected. Fire brigade responded. Unit shutdown. Two contract workers suffered minor burns. Same furnace where flameout occurred one week prior.,See report notes,Open,R011,Process Furnace,7,unsafe-condition,unspecified,unspecified
2026-03-11 09:00:00,India,Moran-Duliajan Access Road,Oil & Gas,II,III,Not Specified,Employee,Vehicle / Transport,"Company vehicle skidded on wet road while transporting night shift crew. No collision, minor embankment contact. Driver and 4 passengers uninjured. Speeding suspected.",See report notes,Closed,R041,Crew Transport Vehicle,4,near-miss,night,human-error
2026-03-15 09:00:00,India,Mathura Refinery CDU-2,Oil & Gas,V,V,Not Specified,Employee,Fire / Explosion,Major furnace explosion. Convection section collapsed. Four workers severely burned. One fatality. Investigation reveals repeated tube thinning not addressed during turnaround. Same unit. Third incident in 15 days.,See report notes,Open,R012,Process Furnace,10,unsafe-condition,unspecified,unspecified
2026-03-16 09:00:00,India,Rig-7 Platform-A,Oil & Gas,I,I,Not Specified,Employee,Routine / Observation,hoist ok. checked. no issue.,See report notes,Closed,R066,Drilling Hoist,1,observation,unspecified,unspecified
2026-03-20 09:00:00,India,Cambay Basin Well CB-19,Oil & Gas,I,II,Not Specified,Employee,Gas Leak / H2S,"Slight hydrocarbon odor near wellhead. Gas test negative. Inspection found no leak source. Logged for monitoring, closed after 48 hrs with no further readings.",See report notes,Closed,R033,Wellhead Christmas Tree,2,near-miss,unspecified,unspecified
2026-03-27 09:00:00,India,Mathura Refinery CDU-2,Oil & Gas,III,III,Not Specified,Employee,Fall / Height,Contract worker fell from unsecured scaffold plank while working at height on furnace platform. Fractured wrist. Scaffold had not been tagged after modification by previous shift.,See report notes,Open,R050,Scaffolding,6,unsafe-act,unspecified,procedural-violation
2026-04-02 09:00:00,India,Visakh Refinery Tank Farm-3,Oil & Gas,I,I,Not Specified,Employee,Routine / Observation,Routine tank gauging completed. Roof condition satisfactory. No abnormalities noted.,See report notes,Closed,R051,Fixed Roof Tank,1,observation,unspecified,unspecified
2026-04-05 09:00:00,India,Visakh Refinery Tank Farm-3,Oil & Gas,III,IV,Not Specified,Employee,Fire / Explosion,Roof seal fire on crude oil storage tank. Small pool fire on roof. Foam system activated. Fire extinguished in 10 minutes. Seal inspection overdue by 6 months.,See report notes,Open,R013,Floating Roof Tank,6,unsafe-condition,unspecified,unspecified
2026-04-09 09:00:00,India,Moran Gathering Station,Oil & Gas,I,I,Not Specified,Employee,Fire / Explosion,"Monthly fire extinguisher inspection completed. All units within pressure range, tags updated.",See report notes,Closed,R052,Fire Extinguisher Station,1,observation,unspecified,unspecified
2026-04-12 09:00:00,India,Visakh Refinery Tank Farm-3,Oil & Gas,IV,V,Not Specified,Employee,Fire / Explosion,Second fire on same tank roof seal. Larger pool fire this time. Two fire fighters injured. Tank farm partially evacuated. Seal replacement still not scheduled. Same tank as previous fire.,See report notes,Open,R014,Floating Roof Tank,8,unsafe-condition,unspecified,unspecified
2026-04-19 09:00:00,India,Pipeline Station-3,Oil & Gas,I,I,Not Specified,Employee,Slip / Near Miss,"Follow-up inspection three months after August incident. Valve replaced with new model, pressure stable, no leak signature. Station operating normally, incident closed.",See report notes,Closed,R067,Gas Valve,1,observation,unspecified,unspecified
2026-04-22 09:00:00,India,Mathura Refinery CDU-2,Oil & Gas,III,III,Not Specified,Employee,Confined Space,"Worker entered vessel for cleaning without gas test certificate. Confined space permit not verified by shift supervisor before entry. Worker exited safely on colleague's alert, no exposure symptoms.",See report notes,Open,R039,Storage Vessel Manhole,5,unsafe-act,unspecified,procedural-violation
2026-04-30 09:00:00,India,Jamnagar-Bathinda Pipeline KM-112,Oil & Gas,II,II,Not Specified,Employee,Chemical Exposure,"Worker exposed to crude oil mist while opening pig launcher without full depressurization confirmed. Minor skin contact on hands, washed immediately, no injury reported.",See report notes,Open,R046,Pigging Station,3,unsafe-act,unspecified,unspecified
2026-05-01 09:00:00,India,Storage Tank-2,Oil & Gas,I,I,Not Specified,Employee,Pressure / Temperature Excursion,Replacement gauge from previous overpressure incident performing well after 2 months of monitoring. No anomalies logged.,See report notes,Closed,R068,Pressure Gauge,1,observation,unspecified,unspecified
2026-05-02 09:00:00,India,Kochi Refinery Hydrocracker Unit,Oil & Gas,III,IV,Not Specified,Employee,Slip / Near Miss,Hydrogen leak at flange joint. Gas detection alarm triggered. Tightening attempted. Leak reduced but not stopped. Unit continued running with increased monitoring.,See report notes,Open,R015,High Pressure Separator,5,unsafe-condition,unspecified,unspecified
2026-05-06 09:00:00,India,Kochi Refinery Hydrocracker Unit,Oil & Gas,I,I,Not Specified,Employee,PPE Violation,Weekly PPE stock check done. Gloves and goggles restocked. No shortages.,See report notes,Closed,R053,PPE Store,1,observation,unspecified,unspecified
2026-05-09 09:00:00,India,Kochi Refinery Hydrocracker Unit,Oil & Gas,V,V,Not Specified,Employee,Fire / Explosion,Major hydrogen explosion at same flange. Blast damaged adjacent piping. Two operators thrown back. One critical injury. Unit emergency shutdown. Same flange that leaked one week ago.,See report notes,Open,R016,High Pressure Separator,10,unsafe-condition,unspecified,unspecified
2026-05-13 09:00:00,India,Ankleshwar GGS-4,Oil & Gas,III,IV,Not Specified,Employee,Pressure / Temperature Excursion,"High temperature alarm on heater treater, severity assessed moderate. Operator reduced firing rate, temperature normalized.",See report notes,Closed,R062,Heater Treater,5,unsafe-condition,unspecified,unspecified
2026-05-18 09:00:00,India,Kochi Refinery Hydrocracker Unit,Oil & Gas,II,III,Not Specified,Employee,Confined Space,"Confined space entry team found oxygen level at 18.5% during pre-entry test, below acceptable threshold. Entry aborted, forced ventilation applied. Re-test cleared after 40 minutes, entry proceeded safely.",See report notes,Closed,R040,Reactor Vessel,4,near-miss,unspecified,unspecified
2026-05-20 09:00:00,India,Ankleshwar GGS-4,Oil & Gas,I,I,Not Specified,Employee,Pressure / Temperature Excursion,"Follow-up check on heater treater after temperature control valve serviced. Running well within limits, no alarms in past week.",See report notes,Closed,R063,Heater Treater,2,observation,unspecified,unspecified
2026-05-25 09:00:00,India,Narimanam Gathering Station,Oil & Gas,II,III,Not Specified,Employee,Ergonomic,"Worker strained shoulder while manually operating a stiff, corroded gate valve wheel without proper wrench. Reported next day after pain persisted. Valve flagged for actuator upgrade.",See report notes,Open,R047,Manual Valve Wheel,3,unsafe-condition,unspecified,ergonomic
2026-06-02 09:00:00,India,KG-DWN-98/2 Platform,Oil & Gas,II,III,Not Specified,Employee,Weather,"Rough sea conditions during crew change. Personnel basket swung heavily during transfer from supply boat. Transfer suspended, resumed after weather improved. No injury.",See report notes,Closed,R042,Personnel Transfer Basket,3,near-miss,unspecified,weather
2026-06-06 09:00:00,India,Duliajan Field Station-3,Oil & Gas,II,III,Not Specified,Employee,Fire / Explosion,"Weekly fire water pump test showed reduced discharge pressure. Strainer found choked with debris. Cleared, pressure restored to normal range.",See report notes,Closed,R071,Fire Water Pump,3,unsafe-condition,unspecified,unspecified
2026-06-06 09:00:00,India,Duliajan Field Station-3,Oil & Gas,II,III,Not Specified,Employee,Fire / Explosion,"Same day as fire water pump strainer issue: ESD system false trip during unrelated maintenance activity on adjacent panel. Plant briefly shut down as precaution, restarted after verification, no hazard confirmed.",See report notes,Open,R072,Emergency Shutdown System,4,unsafe-condition,unspecified,unspecified
2026-06-10 09:00:00,India,KG-DWN-98/2 Platform,Oil & Gas,II,III,Not Specified,Employee,Blowout / Well Control,Crane load swing during lifting of BOP stack. Load passed over personnel. No hard hats in zone. No tagline used. Load within capacity but poor rigging practice.,See report notes,Closed,R017,Crane,3,near-miss,unspecified,unspecified
2026-06-14 09:00:00,India,Cauvery Basin CB-OS-2,Oil & Gas,II,III,Not Specified,Employee,Ergonomic,Back strain reported by roustabout after repeated manual lifting of drilling mud sacks without mechanical aid available on site. Light duty assigned for one week.,See report notes,Open,R048,Manual Load Handling,3,unsafe-condition,unspecified,ergonomic
2026-06-18 09:00:00,India,KG-DWN-98/2 Platform,Oil & Gas,IV,V,Not Specified,Employee,Crane / Lifting,Crane wire rope parted during lift. Load dropped to deck. No personnel in drop zone. Rope inspection overdue by 3 months. Same crane involved in previous load swing incident.,See report notes,Open,R018,Crane,7,unsafe-condition,unspecified,unspecified
2026-06-21 09:00:00,India,Hazira Gas Terminal,Oil & Gas,I,I,Not Specified,Employee,Routine / Observation,Muster point signage inspected during safety walk. One faded sign flagged for replacement. Non-urgent.,See report notes,Closed,R054,Emergency Muster Point,1,observation,unspecified,unspecified
2026-06-25 09:00:00,India,Hazira Gas Terminal,Oil & Gas,II,III,Not Specified,Employee,PPE Violation,"Compressor tripped on high vibration alarm. Root cause found to be loose foundation bolt. Bolts torqued, vibration within limits on restart. No further trips logged in following month.",See report notes,Closed,R034,Compressor Skid,4,unsafe-condition,unspecified,unspecified
2026-06-28 09:00:00,India,Ankleshwar GGS-4,Oil & Gas,II,II,Not Specified,Employee,Pressure / Temperature Excursion,"New operator on shift did not follow updated startup checklist for heater treater, caused brief overtemperature excursion again. No damage. Refresher training scheduled for shift crew.",See report notes,Open,R064,Heater Treater,4,unsafe-act,unspecified,unspecified
2026-07-01 09:00:00,India,Dahej-Vijaipur Pipeline KM-45,Oil & Gas,II,III,Not Specified,Employee,Slip / Near Miss,Pipeline patrol noticed vegetation browning near valve station. Gas detector reading slightly elevated. No confirmed leak. Marker tape missing. Agricultural land nearby.,See report notes,Closed,R019,Pipeline Valve,3,near-miss,unspecified,unspecified
2026-07-03 09:00:00,India,LPG Plant Hyderabad,Oil & Gas,I,I,Not Specified,Employee,Routine / Observation,Routine calibration of area gas detectors completed. All sensors within tolerance.,See report notes,Closed,R055,Gas Detector Panel,1,observation,unspecified,unspecified
2026-07-08 09:00:00,India,Dahej-Vijaipur Pipeline KM-45,Oil & Gas,IV,V,Not Specified,Employee,Gas Leak / H2S,Gas leak confirmed at valve station. Pressure drop in pipeline. Nearby village alerted. Emergency valve closure. Same location where vegetation browning was observed one week earlier.,See report notes,Open,R020,Pipeline Valve,8,unsafe-condition,unspecified,unspecified
2026-07-11 09:00:00,India,Rig-12 Platform-C,Oil & Gas,II,III,Not Specified,Employee,Crane / Lifting,"Rigger flagged frayed sling during pre-lift inspection, replaced before use, lift proceeded without incident. Sling age exceeded recommended service life by 4 months.",See report notes,Closed,R069,Crane,3,unsafe-condition,unspecified,maintenance-gap
2026-07-15 09:00:00,India,Dahej-Vijaipur Pipeline KM-45,Oil & Gas,V,V,Not Specified,Employee,Fire / Explosion,Pipeline rupture at valve station. Gas cloud formed. Ignition from nearby tractor. Fireball. Three villagers injured. One pipeline worker missing. Same valve station. Third incident in 15 days.,See report notes,Open,R021,Pipeline Valve,10,unsafe-condition,unspecified,unspecified
2026-07-19 09:00:00,India,Mumbai High North Platform-B,Oil & Gas,II,III,Not Specified,Employee,Vehicle / Transport,"Helicopter landing aborted due to sudden high wind gust exceeding limits. Pilot went around, landed safely on second attempt. Operations briefly suspended.",See report notes,Closed,R043,Helideck,3,near-miss,unspecified,weather
2026-07-30 09:00:00,India,Paradip Refinery Tank Farm-7,Oil & Gas,II,III,Not Specified,Employee,Pressure / Temperature Excursion,"N2 pressure dropped below setpoint on crude tank. Backup regulator engaged automatically. Primary regulator serviced. System stable since, no repeat low-pressure event.",See report notes,Closed,R035,Nitrogen Blanketing System,3,unsafe-condition,unspecified,unspecified
2026-08-02 09:00:00,India,Moran Gathering Station,Oil & Gas,III,IV,Not Specified,Employee,Pressure / Temperature Excursion,Pressure safety valve lifted unexpectedly. Pressure spike in separator. Control system alarmed. Manual blowdown performed. PSV inspection overdue.,See report notes,Open,R022,Separator Vessel,5,unsafe-condition,unspecified,unspecified
2026-08-05 09:00:00,India,Haldia Refinery Loading Bay-2,Oil & Gas,I,II,Not Specified,Employee,Pressure / Temperature Excursion,"Loading arm coupling showed minor seepage during tanker filling. Operation paused, gasket replaced. No seepage on next three loading cycles.",See report notes,Closed,R036,Tanker Loading Arm,2,unsafe-condition,unspecified,unspecified
2026-08-10 09:00:00,India,Moran Gathering Station,Oil & Gas,IV,V,Not Specified,Employee,Pressure / Temperature Excursion,Separator vessel overpressurized. PSV failed to reseat after lifting. Continuous venting to atmosphere. Area evacuated. Same vessel where PSV lifted one week ago.,See report notes,Open,R023,Separator Vessel,7,unsafe-condition,unspecified,unspecified
2026-08-11 09:00:00,India,Dahej LNG Terminal,Oil & Gas,I,I,Not Specified,Employee,Routine / Observation,Shift log review found no abnormal readings on BOG compressor over past week.,See report notes,Closed,R056,Boil-off Gas Compressor,1,observation,unspecified,unspecified
2026-08-15 09:00:00,India,Jamnagar-Bathinda Pipeline KM-112,Oil & Gas,III,IV,Not Specified,Employee,Weather,"Cyber-physical anomaly: unexpected remote command received on SCADA terminal to close a mainline valve outside scheduled operations window. Command blocked by operator verification protocol, no valve action taken. Under investigation with IT security.",See report notes,Open,R070,SCADA Terminal,5,unsafe-condition,unspecified,security
2026-08-18 09:00:00,India,Moran Gathering Station,Oil & Gas,V,V,Not Specified,Employee,Fire / Explosion,Vessel rupture disc blew. Separator shell cracked. Crude oil and gas release. Fire ignited from electrical panel spark. Two operators severely burned. Same vessel. Third pressure-related incident.,See report notes,Open,R024,Separator Vessel,10,unsafe-condition,unspecified,unspecified
2026-08-28 09:00:00,India,Uran Plant Gas Processing Unit,Oil & Gas,II,III,Not Specified,Employee,Vehicle / Transport,"Forklift reversed without spotter near pipe rack, nearly struck contract worker walking through unmarked pedestrian zone. No contact made. Pedestrian walkway lines faded and not repainted.",See report notes,Closed,R044,Forklift,4,near-miss,unspecified,procedural-violation
2026-09-01 09:00:00,India,LPG Plant Hyderabad,Oil & Gas,II,III,Not Specified,Employee,Fire / Explosion,LPG smell near filling machine. Leak detector not responding. Manual soap test confirmed leak at filling nozzle. Machine stopped. No ignition.,See report notes,Open,R025,Filling Carousel,4,unsafe-condition,unspecified,unspecified
2026-09-07 09:00:00,India,LPG Plant Hyderabad,Oil & Gas,IV,V,Not Specified,Employee,Fire / Explosion,Fire in filling shed. LPG leak from same nozzle ignited by static spark. Six cylinders in shed. Sprinkler activated. Two workers with flash burns. Same machine that leaked one week prior.,See report notes,Open,R026,Filling Carousel,8,unsafe-condition,unspecified,unspecified
2026-09-14 09:00:00,India,LPG Plant Hyderabad,Oil & Gas,V,V,Not Specified,Employee,Fire / Explosion,Major LPG tanker explosion during decanting. BLEVE suspected. Blast radius 200 meters. Plant severely damaged. Five fatalities including contract workers. Same filling area. Third incident in 14 days.,See report notes,Open,R027,Filling Carousel,10,unsafe-condition,unspecified,unspecified
